SID,NAME,fecha_prediccion,umbral_distancia_enlace_km,umbral_min_trayectorias_por_cluster,n_trayectorias_best_cluster,dispersión_km_best_cluster,fecha_estimada_de_inicio,inicio_oficial,USA_SSHS,zona,label,horas_diff_reales,horas_diff_estimadas
2022148N13263,AGATHA,2022-05-18 00:00:00,400.0,5.0,6.0,183.93,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-246.0,-252.0
2022148N13263,AGATHA,2022-05-18 06:00:00,200.0,5.0,6.0,105.26,2022-05-27 18:00:00,2022-05-28 06:00:00,,pacifico,0,-240.0,-228.0
2022148N13263,AGATHA,2022-05-18 12:00:00,200.0,5.0,6.0,176.81,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-234.0,-240.0
2022148N13263,AGATHA,2022-05-18 18:00:00,200.0,5.0,5.0,98.82,2022-05-28 18:00:00,2022-05-28 06:00:00,,pacifico,0,-228.0,-240.0
2022148N13263,AGATHA,2022-05-19 00:00:00,300.0,5.0,9.0,161.34,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-222.0,-228.0
2022148N13263,AGATHA,2022-05-19 06:00:00,100.0,5.0,5.0,50.03,2022-05-27 18:00:00,2022-05-28 06:00:00,,pacifico,0,-216.0,-204.0
2022148N13263,AGATHA,2022-05-19 12:00:00,300.0,5.0,8.0,225.37,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-210.0,-216.0
2022148N13263,AGATHA,2022-05-19 18:00:00,300.0,5.0,6.0,171.93,2022-05-28 06:00:00,2022-05-28 06:00:00,,pacifico,0,-204.0,-204.0
2022148N13263,AGATHA,2022-05-20 00:00:00,300.0,5.0,5.0,157.51,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-198.0,-204.0
2022148N13263,AGATHA,2022-05-20 06:00:00,200.0,5.0,6.0,80.16,2022-05-28 18:00:00,2022-05-28 06:00:00,,pacifico,0,-192.0,-204.0
2022148N13263,AGATHA,2022-05-20 12:00:00,200.0,5.0,5.0,112.07,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-186.0,-192.0
2022148N13263,AGATHA,2022-05-20 18:00:00,200.0,5.0,5.0,98.48,2022-05-29 06:00:00,2022-05-28 06:00:00,,pacifico,0,-180.0,-204.0
2022148N13263,AGATHA,2022-05-21 00:00:00,200.0,5.0,9.0,143.45,2022-05-29 12:00:00,2022-05-28 06:00:00,,pacifico,0,-174.0,-204.0
2022148N13263,AGATHA,2022-05-21 06:00:00,300.0,5.0,8.0,249.75,2022-05-28 18:00:00,2022-05-28 06:00:00,,pacifico,0,-168.0,-180.0
2022148N13263,AGATHA,2022-05-21 12:00:00,100.0,5.0,5.0,62.57,2022-05-29 12:00:00,2022-05-28 06:00:00,,pacifico,0,-162.0,-192.0
2022148N13263,AGATHA,2022-05-21 18:00:00,100.0,5.0,5.0,66.1,2022-05-29 18:00:00,2022-05-28 06:00:00,,pacifico,0,-156.0,-192.0
2022148N13263,AGATHA,2022-05-22 00:00:00,100.0,5.0,5.0,48.1,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-150.0,-156.0
2022148N13263,AGATHA,2022-05-22 06:00:00,100.0,5.0,5.0,75.09,2022-05-28 18:00:00,2022-05-28 06:00:00,,pacifico,0,-144.0,-156.0
2022148N13263,AGATHA,2022-05-22 12:00:00,100.0,5.0,6.0,42.55,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-138.0,-144.0
2022148N13263,AGATHA,2022-05-22 18:00:00,50.0,5.0,6.0,26.39,2022-05-28 06:00:00,2022-05-28 06:00:00,,pacifico,0,-132.0,-132.0
2022148N13263,AGATHA,2022-05-23 00:00:00,50.0,5.0,5.0,44.41,2022-05-29 12:00:00,2022-05-28 06:00:00,,pacifico,0,-126.0,-156.0
2022148N13263,AGATHA,2022-05-23 06:00:00,100.0,5.0,8.0,85.38,2022-05-28 06:00:00,2022-05-28 06:00:00,,pacifico,0,-120.0,-120.0
2022148N13263,AGATHA,2022-05-23 12:00:00,100.0,15.0,17.0,105.7,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-114.0,-120.0
2022148N13263,AGATHA,2022-05-23 18:00:00,100.0,5.0,5.0,36.02,2022-05-27 18:00:00,2022-05-28 06:00:00,,pacifico,0,-108.0,-96.0
2022148N13263,AGATHA,2022-05-24 00:00:00,50.0,5.0,5.0,29.26,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-102.0,-108.0
2022148N13263,AGATHA,2022-05-24 06:00:00,100.0,10.0,12.0,70.1,2022-05-27 18:00:00,2022-05-28 06:00:00,,pacifico,0,-96.0,-84.0
2022148N13263,AGATHA,2022-05-24 12:00:00,50.0,10.0,10.0,52.77,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-90.0,-96.0
2022148N13263,AGATHA,2022-05-24 18:00:00,50.0,5.0,6.0,28.43,2022-05-27 18:00:00,2022-05-28 06:00:00,,pacifico,0,-84.0,-72.0
2022148N13263,AGATHA,2022-05-25 00:00:00,100.0,15.0,15.0,72.64,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-78.0,-84.0
2022148N13263,AGATHA,2022-05-25 06:00:00,100.0,5.0,7.0,53.05,2022-05-27 18:00:00,2022-05-28 06:00:00,,pacifico,0,-72.0,-60.0
2022148N13263,AGATHA,2022-05-25 12:00:00,50.0,5.0,9.0,34.44,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-66.0,-72.0
2022148N13263,AGATHA,2022-05-25 18:00:00,200.0,5.0,5.0,68.29,2022-05-27 18:00:00,2022-05-28 06:00:00,,pacifico,0,-60.0,-48.0
2022148N13263,AGATHA,2022-05-26 00:00:00,100.0,5.0,6.0,56.18,2022-05-29 12:00:00,2022-05-28 06:00:00,,pacifico,0,-54.0,-84.0
2022148N13263,AGATHA,2022-05-26 06:00:00,50.0,5.0,8.0,29.71,2022-05-28 06:00:00,2022-05-28 06:00:00,,pacifico,0,-48.0,-48.0
2022148N13263,AGATHA,2022-05-26 12:00:00,100.0,30.0,35.0,77.16,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-42.0,-48.0
2022148N13263,AGATHA,2022-05-26 18:00:00,50.0,20.0,23.0,41.08,2022-05-27 18:00:00,2022-05-28 06:00:00,,pacifico,0,-36.0,-24.0
2022148N13263,AGATHA,2022-05-27 00:00:00,100.0,15.0,17.0,66.64,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-30.0,-36.0
2022148N13263,AGATHA,2022-05-27 06:00:00,50.0,40.0,46.0,31.48,2022-05-27 18:00:00,2022-05-28 06:00:00,,pacifico,0,-24.0,-12.0
2022148N13263,AGATHA,2022-05-27 12:00:00,50.0,40.0,48.0,52.42,2022-05-28 12:00:00,2022-05-28 06:00:00,,pacifico,0,-18.0,-24.0
2022148N13263,AGATHA,2022-05-27 18:00:00,50.0,40.0,50.0,33.99,2022-05-28 06:00:00,2022-05-28 06:00:00,-3.0,pacifico,0,-12.0,-12.0
2022148N13263,AGATHA,2022-05-28 00:00:00,50.0,40.0,52.0,34.97,2022-05-28 12:00:00,2022-05-28 06:00:00,-1.0,pacifico,0,-6.0,-12.0
2022148N13263,AGATHA,2022-05-28 06:00:00,50.0,40.0,50.0,33.52,2022-05-28 18:00:00,2022-05-28 06:00:00,0.0,pacifico,1,0.0,-12.0
2022148N13263,AGATHA,2022-05-28 12:00:00,50.0,10.0,12.0,28.96,2022-05-29 12:00:00,2022-05-28 06:00:00,0.0,pacifico,1,6.0,-24.0
2022148N13263,AGATHA,2022-05-28 18:00:00,50.0,40.0,50.0,20.29,2022-05-29 06:00:00,2022-05-28 06:00:00,0.0,pacifico,1,12.0,-12.0
2022148N13263,AGATHA,2022-05-29 00:00:00,200.0,40.0,54.0,69.05,2022-05-29 12:00:00,2022-05-28 06:00:00,0.0,pacifico,1,18.0,-12.0
2022148N13263,AGATHA,2022-05-29 06:00:00,50.0,40.0,52.0,26.6,2022-05-29 18:00:00,2022-05-28 06:00:00,1.0,pacifico,1,24.0,-12.0
