SID,NAME,ISO_TIME,distancia_enlace_km,min_trayectorias_por_cluster,error_promedio_km,n_trayectorias_best_cluster,dispersión_km_best_cluster,USA_SSHS,fecha_inicio
2023292N13309,TAMMY,2023-10-09 00:00:00,400.0,5.0,361.41,6.0,316.22,0.0,2023-10-20 00:00:00
2023292N13309,TAMMY,2023-10-10 00:00:00,400.0,5.0,388.82,5.0,261.46,0.0,2023-10-19 12:00:00
2023292N13309,TAMMY,2023-10-10 06:00:00,300.0,5.0,222.33,5.0,203.88,1.0,2023-10-20 18:00:00
2023292N13309,TAMMY,2023-10-10 12:00:00,400.0,5.0,210.5,5.0,167.09,0.0,2023-10-19 12:00:00
2023292N13309,TAMMY,2023-10-10 18:00:00,,,,,,,
2023292N13309,TAMMY,2023-10-11 00:00:00,400.0,5.0,350.37,5.0,327.35,1.0,2023-10-21 00:00:00
2023292N13309,TAMMY,2023-10-11 06:00:00,300.0,5.0,236.95,5.0,194.92,0.0,2023-10-19 06:00:00
2023292N13309,TAMMY,2023-10-11 12:00:00,200.0,5.0,185.41,6.0,133.71,0.0,2023-10-19 12:00:00
2023292N13309,TAMMY,2023-10-11 18:00:00,200.0,5.0,144.62,5.0,147.29,0.0,2023-10-19 06:00:00
2023292N13309,TAMMY,2023-10-12 00:00:00,300.0,5.0,205.3,5.0,162.1,0.0,2023-10-19 00:00:00
2023292N13309,TAMMY,2023-10-12 06:00:00,200.0,5.0,144.87,5.0,101.97,0.0,2023-10-19 06:00:00
2023292N13309,TAMMY,2023-10-12 12:00:00,100.0,5.0,95.45,6.0,46.39,0.0,2023-10-19 00:00:00
2023292N13309,TAMMY,2023-10-12 18:00:00,100.0,5.0,43.54,6.0,36.23,0.0,2023-10-18 18:00:00
2023292N13309,TAMMY,2023-10-13 00:00:00,200.0,5.0,134.39,6.0,83.36,0.0,2023-10-19 00:00:00
2023292N13309,TAMMY,2023-10-13 06:00:00,50.0,5.0,141.04,5.0,33.45,0.0,2023-10-19 06:00:00
2023292N13309,TAMMY,2023-10-13 12:00:00,200.0,5.0,166.04,6.0,140.29,0.0,2023-10-19 00:00:00
2023292N13309,TAMMY,2023-10-13 18:00:00,100.0,5.0,131.5,8.0,58.76,0.0,2023-10-18 18:00:00
2023292N13309,TAMMY,2023-10-14 00:00:00,100.0,10.0,149.88,13.0,88.72,0.0,2023-10-19 00:00:00
2023292N13309,TAMMY,2023-10-14 06:00:00,50.0,5.0,252.13,6.0,33.42,0.0,2023-10-18 18:00:00
2023292N13309,TAMMY,2023-10-14 12:00:00,50.0,5.0,139.49,5.0,26.6,0.0,2023-10-19 00:00:00
2023292N13309,TAMMY,2023-10-14 18:00:00,100.0,5.0,116.79,7.0,51.96,0.0,2023-10-18 18:00:00
2023292N13309,TAMMY,2023-10-15 00:00:00,100.0,10.0,132.27,11.0,100.96,0.0,2023-10-19 00:00:00
2023292N13309,TAMMY,2023-10-15 06:00:00,50.0,5.0,103.18,6.0,32.19,0.0,2023-10-18 18:00:00
2023292N13309,TAMMY,2023-10-15 12:00:00,50.0,10.0,68.98,10.0,38.5,0.0,2023-10-19 00:00:00
2023292N13309,TAMMY,2023-10-15 18:00:00,50.0,5.0,43.73,7.0,35.27,0.0,2023-10-18 18:00:00
2023292N13309,TAMMY,2023-10-16 00:00:00,50.0,15.0,79.26,17.0,55.53,0.0,2023-10-19 00:00:00
2023292N13309,TAMMY,2023-10-16 06:00:00,50.0,5.0,99.25,5.0,32.65,0.0,2023-10-18 18:00:00
2023292N13309,TAMMY,2023-10-16 12:00:00,50.0,20.0,112.82,24.0,58.39,0.0,2023-10-19 00:00:00
2023292N13309,TAMMY,2023-10-16 18:00:00,50.0,30.0,158.29,33.0,44.84,0.0,2023-10-19 06:00:00
2023292N13309,TAMMY,2023-10-17 00:00:00,100.0,20.0,143.19,21.0,48.59,0.0,2023-10-19 00:00:00
2023292N13309,TAMMY,2023-10-17 06:00:00,100.0,10.0,151.36,13.0,48.68,0.0,2023-10-19 06:00:00
2023292N13309,TAMMY,2023-10-17 12:00:00,200.0,5.0,87.67,5.0,86.55,0.0,2023-10-20 00:00:00
2023292N13309,TAMMY,2023-10-17 18:00:00,50.0,5.0,71.37,8.0,37.06,0.0,2023-10-19 18:00:00
2023292N13309,TAMMY,2023-10-18 00:00:00,50.0,10.0,57.1,14.0,42.19,0.0,2023-10-19 12:00:00
2023292N13309,TAMMY,2023-10-18 06:00:00,50.0,10.0,57.64,11.0,13.49,0.0,2023-10-18 18:00:00
2023292N13309,TAMMY,2023-10-18 12:00:00,50.0,10.0,33.98,10.0,24.38,0.0,2023-10-19 00:00:00
2023292N13309,TAMMY,2023-10-18 18:00:00,50.0,10.0,57.8,12.0,26.62,0.0,2023-10-19 06:00:00
2023292N13309,TAMMY,2023-10-19 00:00:00,50.0,30.0,38.46,36.0,30.04,0.0,2023-10-19 12:00:00
2023292N13309,TAMMY,2023-10-19 06:00:00,50.0,30.0,50.66,34.0,44.97,0.0,2023-10-19 18:00:00
